i=0; b,a->ab; size_dict={'a': 2, 'b': 2};
i=798; fbc,dfgbea->cdefga; size_dict={'a': 3, 'b': 4, 'c': 4, 'd': 3, 'e': 2, 'f': 6, 'g': 4};
i=799; acdhgfbg,efdbc->egcbah; size_dict={'a': 3, 'b': 6, 'c': 4, 'd': 2, 'e': 3, 'f': 3, 'g': 2, 'h': 3};
i=800; cgbagfde,bgcf->ead; size_dict={'a': 3, 'b': 4, 'c': 4, 'd': 5, 'e': 4, 'f': 3, 'g': 2};
i=801; ddca,cbd->cba; size_dict={'a': 9, 'b': 2, 'c': 7, 'd': 61};
i=802; feefd,cab->bafecd; size_dict={'a': 15, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 16};
i=803; bdeb,cfbafg->geadcf; size_dict={'a': 6, 'b': 6, 'c': 4, 'd': 2, 'e': 2, 'f': 7, 'g': 2};
i=804; dc,daab->abc; size_dict={'a': 9, 'b': 2, 'c': 15, 'd': 30};
i=805; ceab,dac->adeb; size_dict={'a': 18, 'b': 29, 'c': 2, 'd': 2, 'e': 3};
i=806; cd,abb->bac; size_dict={'a': 2, 'b': 2, 'c': 22, 'd': 89};
i=807; cdfeba,cabgdfg->ga; size_dict={'a': 3, 'b': 3, 'c': 5, 'd': 4, 'e': 3, 'f': 2, 'g': 6};
i=808; adc,bac->bda; size_dict={'a': 11, 'b': 4, 'c': 14, 'd': 13};
i=809; ab,->a; size_dict={'a': 247, 'b': 33};
i=810; bda,eecba->dec; size_dict={'a': 2, 'b': 17, 'c': 13, 'd': 9, 'e': 2};
i=811; de,beca->bed; size_dict={'a': 3, 'b': 15, 'c': 4, 'd': 6, 'e': 7};
i=812; bcdhaf,ifehgb->fgdaice; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 4, 'g': 2, 'h': 6, 'i': 2};
i=813; bacdfe,bcef->acd; size_dict={'a': 5, 'b': 2, 'c': 28, 'd': 2, 'e': 2, 'f': 7};
i=814; aebfchg,aehd->dbgcf; size_dict={'a': 2, 'b': 2, 'c': 11, 'd': 2, 'e': 2, 'f': 4, 'g': 5, 'h': 2};
i=815; babe,acdb->ced; size_dict={'a': 8, 'b': 17, 'c': 14, 'd': 2, 'e': 2};
i=816; akg,gbjaeihdcf->ebhdikj; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 4, 'i': 2, 'j': 2, 'k': 2};
i=817; cb,dcea->baed; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 19, 'e': 19};
i=818; gcbhe,bfcdea->gafh; size_dict={'a': 5, 'b': 9, 'c': 2, 'd': 3, 'e': 3, 'f': 2, 'g': 2, 'h': 2};
i=819; abad,fced->febc; size_dict={'a': 8, 'b': 2, 'c': 8, 'd': 4, 'e': 4, 'f': 4};
i=820; cfeade,bde->fabec; size_dict={'a': 4, 'b': 8, 'c': 2, 'd': 2, 'e': 8, 'f': 8};
i=821; bacc,aa->bca; size_dict={'a': 36, 'b': 26, 'c': 8};
i=822; gebfd,acfh->cbegdhfa; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 2, 'e': 2, 'f': 5, 'g': 6, 'h': 3};
i=823; ecagdh,gefbdha->fbc; size_dict={'a': 2, 'b': 10, 'c': 2, 'd': 2, 'e': 4, 'f': 2, 'g': 2, 'h': 6};
i=824; eaicfgb,cdeeghib->hcdfa; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 4};
i=825; ca,ab->cb; size_dict={'a': 144, 'b': 11, 'c': 5};
i=826; jdajfie,gdbchjg->igacefb; size_dict={'a': 4, 'b': 3, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 2, 'j': 2};
i=827; fdae,cbfa->ebd; size_dict={'a': 17, 'b': 3, 'c': 4, 'd': 9, 'e': 2, 'f': 2};
i=828; cbad,ad->abc; size_dict={'a': 2, 'b': 16, 'c': 6, 'd': 41};
i=829; bbgcde,cgfa->aedf; size_dict={'a': 2, 'b': 3, 'c': 5, 'd': 6, 'e': 4, 'f': 2, 'g': 5};
i=830; fdjbage,jhaidcf->bihcae; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 3, 'f': 4, 'g': 2, 'h': 3, 'i': 2, 'j': 4};
i=831; feabc,fdca->bdae; size_dict={'a': 2, 'b': 7, 'c': 4, 'd': 7, 'e': 14, 'f': 2};
i=832; cba,ab->c; size_dict={'a': 67, 'b': 41, 'c': 4};
i=833; dbaceg,defa->fgbec; size_dict={'a': 6, 'b': 4, 'c': 3, 'd': 3, 'e': 7, 'f': 3, 'g': 2};
i=834; agef,cgdba->cbde; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 6, 'e': 9, 'f': 8, 'g': 2};
i=835; fbgade,gfac->cfdb; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 3, 'e': 10, 'f': 2, 'g': 8};
i=836; hdkdjclgaei,fgfhjlbic->dekafb; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 2, 'l': 2};
i=837; dec,fbace->badf; size_dict={'a': 5, 'b': 10, 'c': 2, 'd': 5, 'e': 2, 'f': 10};
i=838; cda,ab->dc; size_dict={'a': 5, 'b': 7, 'c': 5, 'd': 66};
i=839; ab,ab->b; size_dict={'a': 18, 'b': 581};
i=840; dbec,da->eab; size_dict={'a': 4, 'b': 26, 'c': 6, 'd': 2, 'e': 9};
i=841; def,bdeac->bac; size_dict={'a': 2, 'b': 2, 'c': 11, 'd': 13, 'e': 2, 'f': 10};
i=842; bieckad,kdajfhg->jfgeiackhb; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 2, 'j': 2, 'k': 3};
i=843; dacgb,eaecf->efdgb; size_dict={'a': 2, 'b': 7, 'c': 3, 'd': 16, 'e': 2, 'f': 4, 'g': 2};
i=844; fcbgae,dccfa->egb; size_dict={'a': 9, 'b': 2, 'c': 6, 'd': 3, 'e': 2, 'f': 2, 'g': 8};
i=845; aefb,cbadb->dbce; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 9, 'e': 6, 'f': 7};
i=846; biafhce,gadf->gcedhb; size_dict={'a': 3, 'b': 13, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 4, 'i': 2};
i=847; cab,a->cab; size_dict={'a': 814, 'b': 2, 'c': 7};
i=848; gfcgabd,fbde->gca; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 6, 'e': 2, 'f': 8, 'g': 5};
i=849; eceb,acdb->aedc; size_dict={'a': 3, 'b': 3, 'c': 12, 'd': 3, 'e': 33};
i=850; eacgdf,bfc->bdaeg; size_dict={'a': 2, 'b': 6, 'c': 10, 'd': 6, 'e': 2, 'f': 2, 'g': 4};
i=851; cbfdah,gdebc->hbfeg; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 4, 'g': 6, 'h': 7};
i=852; dabc,db->ac; size_dict={'a': 2, 'b': 5, 'c': 31, 'd': 30};
i=853; dfecab,ffce->db; size_dict={'a': 2, 'b': 20, 'c': 2, 'd': 12, 'e': 3, 'f': 4};
i=854; gkihfeja,akgjeibdfgc->icghbk; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 7, 'j': 2, 'k': 2};
i=855; hecidkf,ibejkafgl->gabcdhl; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2};
i=856; fhieabg,acfbijdg->cbhjde; size_dict={'a': 3, 'b': 2, 'c': 6, 'd': 2, 'e': 5, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=857; chdcfjgi,egebfa->jaihc; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 3, 'e': 2, 'f': 3, 'g': 4, 'h': 2, 'i': 3, 'j': 2};
i=858; hcbiaegkl,dbjacfe->iflgcbdjhk; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 5};
i=859; cfeba,dc->defa; size_dict={'a': 7, 'b': 2, 'c': 8, 'd': 10, 'e': 2, 'f': 5};
i=860; fdga,befcg->bdeac; size_dict={'a': 6, 'b': 6, 'c': 2, 'd': 5, 'e': 5, 'f': 2, 'g': 3};
i=861; efagebcd,cgabdhfhe->hd; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 12, 'e': 2, 'f': 2, 'g': 6, 'h': 2};
i=862; gifahjd,facdbe->aheibcdg; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 3, 'i': 6, 'j': 2};
i=863; aiceghcd,abife->cgdbahf; size_dict={'a': 4, 'b': 2, 'c': 5, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 8};
i=864; dcgbfh,dhaech->gfeba; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 23, 'g': 2, 'h': 3};
i=865; aggahb,ecbdf->fdhabg; size_dict={'a': 8, 'b': 2, 'c': 3, 'd': 10, 'e': 2, 'f': 2, 'g': 2, 'h': 3};
i=866; cihaf,chdgbie->ahfebigc; size_dict={'a': 4, 'b': 2, 'c': 3, 'd': 2, 'e': 5, 'f': 2, 'g': 2, 'h': 4, 'i': 3};
i=867; cba,bad->cb; size_dict={'a': 3, 'b': 3, 'c': 15, 'd': 81};
i=868; bcd,cead->eb; size_dict={'a': 2, 'b': 3, 'c': 12, 'd': 10, 'e': 15};
i=869; becfa,dhfcga->habcg; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 2, 'e': 4, 'f': 5, 'g': 4, 'h': 4};
i=870; bbckjhdf,jaidgkchbe->kigbaf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 3, 'k': 2};
i=871; cadd,cbd->adb; size_dict={'a': 17, 'b': 12, 'c': 12, 'd': 4};
i=872; fcab,cfdea->bdf; size_dict={'a': 2, 'b': 4, 'c': 10, 'd': 10, 'e': 2, 'f': 5};
i=873; ba,c->bc; size_dict={'a': 2, 'b': 290, 'c': 19};
i=874; deab,cab->ebdc; size_dict={'a': 5, 'b': 4, 'c': 13, 'd': 2, 'e': 21};
i=875; cab,da->cbad; size_dict={'a': 7, 'b': 12, 'c': 43, 'd': 3};
i=876; babc,dce->bdea; size_dict={'a': 10, 'b': 8, 'c': 4, 'd': 21, 'e': 2};
i=877; afhgcdb,ifecbh->iaged; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 7, 'e': 2, 'f': 5, 'g': 2, 'h': 2, 'i': 2};
i=878; lnhkcigj,ikafebldm->adhjfcnbm; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2, 'n': 2};
i=879; cdab,fbde->afcbe; size_dict={'a': 2, 'b': 9, 'c': 2, 'd': 4, 'e': 26, 'f': 4};
i=880; jfebdaih,hcgaeje->cfibg; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 5, 'e': 3, 'f': 2, 'g': 4, 'h': 2, 'i': 2, 'j': 2};
i=881; b,cbda->dca; size_dict={'a': 10, 'b': 2, 'c': 13, 'd': 52};
i=882; aaecgfb,bgcedh->adh; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 2, 'e': 6, 'f': 4, 'g': 7, 'h': 2};
i=883; bhjeacfdi,agjik->fhecgbdk; size_dict={'a': 2, 'b': 4, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 3, 'i': 2, 'j': 2, 'k': 2};
i=884; c,cba->b; size_dict={'a': 2, 'b': 28, 'c': 254};
i=885; ac,cb->ba; size_dict={'a': 2, 'b': 155, 'c': 52};
i=886; cnemijgbd,keahmbldifgj->kanlcfm; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2, 'n': 2};
i=887; aifdhc,bgajei->chefbdj; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 4, 'j': 7};
i=888; fihajdce,ecgidabf->jhagb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 5, 'i': 2, 'j': 6};
i=889; adeb,ac->bdeca; size_dict={'a': 23, 'b': 4, 'c': 3, 'd': 26, 'e': 2};
i=890; jheiajdg,gjdfckgabdhe->fhkdc; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 3};
i=891; baee,dfacb->efd; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 27, 'e': 10, 'f': 2};
i=892; dab,ecd->ceba; size_dict={'a': 2, 'b': 28, 'c': 45, 'd': 3, 'e': 2};
i=893; d,acbd->cba; size_dict={'a': 15, 'b': 13, 'c': 12, 'd': 7};
i=894; ibhdcbga,iehf->gcfdaeb; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 4, 'i': 5};
i=895; hagedbci,admjefckli->fjbalghkdm; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 3, 'k': 2, 'l': 2, 'm': 2};
i=896; bae,bacd->ecb; size_dict={'a': 24, 'b': 6, 'c': 2, 'd': 27, 'e': 2};
i=897; bcegaf,gdfe->bgcda; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 7, 'f': 7, 'g': 10};
i=898; ac,bd->dabc; size_dict={'a': 2, 'b': 72, 'c': 2, 'd': 43};
i=899; aceb,baced->bda; size_dict={'a': 4, 'b': 16, 'c': 3, 'd': 12, 'e': 7};
i=900; aebfdc,ceagf->gdc; size_dict={'a': 10, 'b': 2, 'c': 6, 'd': 11, 'e': 2, 'f': 3, 'g': 2};
i=901; adbecf,be->fcbe; size_dict={'a': 3, 'b': 7, 'c': 2, 'd': 10, 'e': 8, 'f': 4};
i=902; djcehfb,gaibc->faijghd; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 2, 'j': 3};
i=903; dfebc,dbag->eagfc; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 2, 'e': 7, 'f': 10, 'g': 4};
i=904; bac,a->bac; size_dict={'a': 18, 'b': 24, 'c': 34};
i=905; bd,cad->abc; size_dict={'a': 7, 'b': 4, 'c': 2, 'd': 271};
i=906; bedc,fageb->fadc; size_dict={'a': 11, 'b': 2, 'c': 3, 'd': 3, 'e': 2, 'f': 7, 'g': 4};
i=907; ba,c->acb; size_dict={'a': 5, 'b': 59, 'c': 53};
i=908; fdca,bedf->bedca; size_dict={'a': 2, 'b': 16, 'c': 4, 'd': 2, 'e': 16, 'f': 4};
i=909; hmcjaibllk,bhefajgdl->mhfkcdieg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2};
i=910; abed,cce->bcad; size_dict={'a': 2, 'b': 2, 'c': 16, 'd': 15, 'e': 17};
i=911; efca,dbca->bdfe; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 5, 'e': 5, 'f': 18};
i=912; hkflieag,migjhbdkhlc->bmgefdcjai; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2};
i=913; decgf,caeb->gbdf; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 4, 'e': 7, 'f': 5, 'g': 5};
i=914; ifchakdj,gifdeaabg->bhjcek; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 2};
i=915; ca,cefadb->febd; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 31, 'e': 2, 'f': 16};
i=916; hicdg,acdbfeb->abihgefc; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 6, 'e': 7, 'f': 2, 'g': 2, 'h': 2, 'i': 4};
i=917; c,afbde->cbeda; size_dict={'a': 4, 'b': 34, 'c': 15, 'd': 2, 'e': 2, 'f': 2};
i=918; eac,faedfab->cdbf; size_dict={'a': 17, 'b': 40, 'c': 2, 'd': 2, 'e': 3, 'f': 2};
i=919; feabd,ca->ebfd; size_dict={'a': 2, 'b': 4, 'c': 23, 'd': 7, 'e': 6, 'f': 2};
i=920; cehfg,abidcf->dghbiaec; size_dict={'a': 8, 'b': 2, 'c': 2, 'd': 7, 'e': 2, 'f': 3, 'g': 2, 'h': 3, 'i': 2};
i=921; agijheeb,djcbchf->geaifdc; size_dict={'a': 2, 'b': 4, 'c': 3, 'd': 2, 'e': 3, 'f': 2, 'g': 5, 'h': 2, 'i': 2, 'j': 3};
i=922; dbdea,decab->c; size_dict={'a': 8, 'b': 13, 'c': 3, 'd': 29, 'e': 2};
i=923; hledjgidcf,hbfemcagflk->djhikam; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 2, 'l': 3, 'm': 2};
i=924; ifadecj,hidgabh->hcgjebf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 3, 'f': 3, 'g': 5, 'h': 3, 'i': 5, 'j': 2};
i=925; efdcgih,fabghd->adibec; size_dict={'a': 2, 'b': 4, 'c': 4, 'd': 2, 'e': 2, 'f': 3, 'g': 5, 'h': 5, 'i': 2};
i=926; dbcfed,adcfe->bae; size_dict={'a': 7, 'b': 4, 'c': 2, 'd': 2, 'e': 17, 'f': 12};
i=927; jdaflebhigk,fiachdmjbl->ikemg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 4, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2};
i=928; fbeicgdajh,ahbegcjd->ijbf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 7, 'f': 2, 'g': 2, 'h': 2, 'i': 10, 'j': 2};
i=929; cedf,cbafd->ae; size_dict={'a': 5, 'b': 6, 'c': 5, 'd': 3, 'e': 16, 'f': 3};
i=930; ab,ca->b; size_dict={'a': 7, 'b': 529, 'c': 6};
i=931; cbd,fadce->fba; size_dict={'a': 5, 'b': 2, 'c': 10, 'd': 6, 'e': 19, 'f': 2};
i=932; jgeilc,fkdbjcha->adhegilfb; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 3, 'h': 2, 'i': 2, 'j': 3, 'k': 2, 'l': 2};
i=933; ed,aacb->eabdc; size_dict={'a': 7, 'b': 7, 'c': 13, 'd': 17, 'e': 2};
i=934; a,adbc->dbc; size_dict={'a': 21, 'b': 37, 'c': 7, 'd': 4};
i=935; cdf,ebda->eacfb; size_dict={'a': 8, 'b': 13, 'c': 2, 'd': 2, 'e': 5, 'f': 11};
i=936; cgfaea,hbiad->hfgdci; size_dict={'a': 2, 'b': 2, 'c': 19, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 6, 'i': 3};
i=937; hcagbge,dagcf->hegfd; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 2, 'e': 6, 'f': 2, 'g': 17, 'h': 2};
i=938; bd,eacd->cdbae; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 33, 'e': 20};
i=939; add,abc->bcd; size_dict={'a': 7, 'b': 2, 'c': 7, 'd': 212};
i=940; cidhhfjkabi,aedgfb->dcjkeigh; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 8, 'e': 2, 'f': 2, 'g': 5, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=941; da,debce->beac; size_dict={'a': 3, 'b': 2, 'c': 10, 'd': 5, 'e': 72};
i=942; kjdafhcg,cdiehkbljf->hbalgie; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 4, 'l': 3};
i=943; b,dcbdab->cad; size_dict={'a': 34, 'b': 110, 'c': 3, 'd': 2};
i=944; c,cba->ab; size_dict={'a': 42, 'b': 5, 'c': 104};
i=945; cfba,beade->fcde; size_dict={'a': 8, 'b': 2, 'c': 8, 'd': 2, 'e': 44, 'f': 2};
i=946; aea,cbd->deacb; size_dict={'a': 11, 'b': 3, 'c': 2, 'd': 18, 'e': 17};
i=947; eab,dca->cdae; size_dict={'a': 3, 'b': 2, 'c': 32, 'd': 35, 'e': 3};
i=948; eafdgb,fbc->ceadg; size_dict={'a': 9, 'b': 4, 'c': 2, 'd': 3, 'e': 4, 'f': 5, 'g': 5};
i=949; becfd,cfafbb->eaf; size_dict={'a': 18, 'b': 2, 'c': 3, 'd': 21, 'e': 2, 'f': 4};
i=950; bcidehaig,haibef->dfcga; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 3, 'g': 5, 'h': 8, 'i': 2};
i=951; bca,fbegad->feg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 17, 'f': 2, 'g': 20};
i=952; bjajckhgd,iegdfa->ficjbeka; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 6, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 3};
i=953; egfcbd,adbc->acgef; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 2, 'e': 20, 'f': 11, 'g': 2};
i=954; cbda,aef->ecbfd; size_dict={'a': 13, 'b': 17, 'c': 2, 'd': 12, 'e': 2, 'f': 2};
i=955; dacfbi,eghda->bfcigah; size_dict={'a': 2, 'b': 2, 'c': 12, 'd': 2, 'e': 13, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=956; jcbglke,idhjfa->glebhifcka; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 4, 'k': 2, 'l': 5};
i=957; aekcfhdji,gbcikdha->fcgebj; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 5, 'g': 2, 'h': 3, 'i': 2, 'j': 2, 'k': 2};
i=958; abjefigdh,egdifc->bdcj; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 3, 'e': 5, 'f': 2, 'g': 2, 'h': 2, 'i': 5, 'j': 2};
i=959; ghdbadhief,hgibdcd->eacgf; size_dict={'a': 6, 'b': 3, 'c': 2, 'd': 4, 'e': 4, 'f': 2, 'g': 2, 'h': 2, 'i': 5};
i=960; acd,bd->dba; size_dict={'a': 102, 'b': 3, 'c': 35, 'd': 2};
i=961; dcd,adb->bac; size_dict={'a': 5, 'b': 7, 'c': 40, 'd': 16};
i=962; edbj,cegiajfh->bgiad; size_dict={'a': 3, 'b': 2, 'c': 6, 'd': 2, 'e': 3, 'f': 3, 'g': 2, 'h': 2, 'i': 2, 'j': 4};
i=963; efgdjicab,jhfd->echabdf; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 5, 'i': 6, 'j': 4};
i=964; acde,adbe->cb; size_dict={'a': 7, 'b': 6, 'c': 37, 'd': 7, 'e': 2};
i=965; ca,bac->bc; size_dict={'a': 9, 'b': 294, 'c': 12};
i=966; fead,bbac->dbfe; size_dict={'a': 4, 'b': 2, 'c': 7, 'd': 15, 'e': 3, 'f': 9};
i=967; aebe,bdce->adc; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 33, 'e': 33};
i=968; facdb,ecf->dba; size_dict={'a': 61, 'b': 2, 'c': 2, 'd': 4, 'e': 5, 'f': 5};
i=969; gbeh,gbfdca->edhcaf; size_dict={'a': 5, 'b': 3, 'c': 2, 'd': 8, 'e': 2, 'f': 4, 'g': 2, 'h': 8};
i=970; b,ba->ab; size_dict={'a': 196, 'b': 151};
i=971; da,cbgfe->gdebca; size_dict={'a': 2, 'b': 3, 'c': 7, 'd': 7, 'e': 7, 'f': 3, 'g': 5};
i=972; cb,ca->b; size_dict={'a': 131, 'b': 112, 'c': 2};
i=973; bdac,a->bcd; size_dict={'a': 3, 'b': 6, 'c': 54, 'd': 29};
i=974; hhedfgdab,acfgih->iedc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 13, 'e': 3, 'f': 2, 'g': 4, 'h': 3, 'i': 4};
i=975; hbfaedc,digbhe->ghcai; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 6, 'e': 3, 'f': 3, 'g': 2, 'h': 10, 'i': 3};
i=976; bcklgjie,lgafihbd->jcdfhaek; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 6, 'h': 2, 'i': 2, 'j': 5, 'k': 2, 'l': 2};
i=977; bca,cdba->dc; size_dict={'a': 2, 'b': 3, 'c': 157, 'd': 32};
i=978; efba,acd->bfadce; size_dict={'a': 2, 'b': 2, 'c': 15, 'd': 11, 'e': 4, 'f': 11};
i=979; bdgfc,dacfe->eagb; size_dict={'a': 2, 'b': 2, 'c': 13, 'd': 2, 'e': 4, 'f': 10, 'g': 7};
i=980; dhebcgf,bea->cbfhdag; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 6, 'e': 4, 'f': 2, 'g': 5, 'h': 6};
i=981; najcgckgmh,haiblckmfed->igmlfnedb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2, 'n': 2};
i=982; hadfcf,cdhgbe->febgc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 9, 'e': 8, 'f': 12, 'g': 2, 'h': 2};
i=983; fdaebba,acbg->bfcg; size_dict={'a': 9, 'b': 3, 'c': 2, 'd': 3, 'e': 4, 'f': 5, 'g': 7};
i=984; hjbgahcidl,bkedcgdef->halfikejc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 7, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 3, 'l': 2};
i=985; dceb,cbae->da; size_dict={'a': 10, 'b': 16, 'c': 6, 'd': 3, 'e': 10};
i=986; bicjgeda,cbhfjg->dfbihga; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 4, 'i': 2, 'j': 7};
i=987; bhjeifcd,giea->hbjcf; size_dict={'a': 4, 'b': 5, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2, 'h': 5, 'i': 3, 'j': 2};
